Tom wandelt snel. 	 Tom walks quickly.
Hebben uw kinderen een eigen kamer? 	 Do your children have their own rooms?
Ik ben niet helemaal zeker. 	 I'm not really sure.
Het werkloosheidspercentage in Japan bedroeg 3,4 procent in september 2015. 	 The unemployment rate in Japan was 3.4 percent in September of 2015.
De zomer is voorbij. 	 Summer is over.
Dat is echt bedroevend. 	 That's really sad.
Het ijs is vijf centimeter dik. 	 The ice is two inches thick.
Deze foto heb ik vorige week gemaakt. 	 I took that picture a week ago.
Tom is net als wij. 	 Tom is just like us.
Hij was naïef. 	 He was naive.
Er stond in de krant dat hij zelfmoord heeft gepleegd. 	 According to the newspaper, he committed suicide.
De tijd vloog snel. 	 Time passed very quickly.
Tom was van plan om te winnen. 	 Tom planned to win.
Waar was u op de avond van de twintigste oktober? 	 Where were you on the night of October 20th?
Laat me uitspreken. 	 Let me finish.
We hebben elkaar gisteren gesproken. 	 We spoke yesterday.
Hoe gebeurt zoiets? 	 How does this happen?
U bent te dronken om te rijden. 	 You're too drunk to drive.
De zwaartekracht van de aarde is niet gelijkmatig. 	 Earth's gravity isn't uniform.
Is dat niet gevaarlijk? 	 Isn't that dangerous?
Tom woont nu in Australië. 	 Tom now lives in Australia.
Mijn vader heeft als hobby het kweken van rozen. 	 My father's hobby is growing roses.
Ik hoor dat hij nog leeft. 	 They say that he's still alive.
De school ziet eruit als een gevangenis. 	 The school looks like a prison.
Ik eet een appel. 	 I'm eating an apple.
Ik rol mijn eigen sigaretten. 	 I roll my own cigarettes.
Tom is erg klein. 	 Tom is very short.
Het zal zonder twijfel gaan regenen. 	 It'll definitely rain.
Mijn mond was droog. 	 My mouth was dry.
Het belang van de muziek wordt onderschat. 	 The importance of music is underrated.
Tom is overstuur. 	 Tom's upset.
Hoe eindigt de film? 	 How does the film end?
Zonder tv kan ik niet leven. 	 I can't live without a TV.
Ik wil me op de toekomst richten. 	 I want to focus on the future.
We moeten dit nu doen. 	 We've got to do this now.
Ik hou van koffie. 	 I love coffee.
Spelen jullie gitaar? 	 Do you play the guitar?
Tom is een miljardair. 	 Tom is a billionaire.
Ik heb al genoeg gedaan. 	 I've already done enough.
Laten we hier op het gras zitten. 	 Let's sit here on the grass.
Sommige Europese landen behoren niet tot de Europese Unie. 	 Some countries in Europe are not part of the European Union.
Het is bezet. 	 It's occupied.
We zijn een beetje sceptisch. 	 We're a little skeptical.
Dit is een geschenk voor u. 	 This is a present for you.
Ik heb waarschijnlijk iets over het hoofd gezien. 	 I must've overlooked something.
Dit boek verkocht goed in Japan. 	 This book sold well in Japan.
Tom werd tot drie jaar veroordeeld. 	 Tom was sentenced to three years.
Laten we niet vergeten dat Tom wellicht hulp nodig heeft. 	 Let's not forget that Tom may need help.
Je kan waarschijnlijk maar beter gaan. 	 You should probably go.
Hoe ouder ik word, hoe beter ik dingen herinner die nooit gebeurd zijn. 	 The older I get, the more clearly I remember things that never happened.
Het is erg duur. 	 It is very expensive.
Mooi gedaan! 	 Good job!
Vandaag is het maandag, dus zal ik doen wat ik altijd doe op maandag. 	 Today is Monday, so I'll do what I always do on Monday.
Heb je gister baseball gespeeld? 	 Did you play baseball yesterday?
Ik zal je koffer naar je kamer brengen. 	 I'll take your suitcase to your room.
Het leven van Mozart was heel kort. 	 Mozart's life was very short.
Ik dacht dat je je hiervoor wel zou interesseren. 	 I thought that you might be interested in this.
Moet je niet in bed zijn? 	 Shouldn't you be in bed?
Ik ga je voorstellen aan mijn familie. 	 I'm going to introduce you to my family.
Wij vinden wiskunde niet leuk. 	 We don't like math.
Ik weet wat je bedoelt. 	 I know what you mean.
Die fabriek produceert speelgoed. 	 That factory produces toys.
Ik voelde me zeer ongemakkelijk. 	 I felt very awkward.
Wie bleef er? 	 Who stayed?
Tom bakte brood. 	 Tom baked bread.
Je zou tenminste "bedankt" kunnen zeggen. 	 You might at least say "thank you."
Ze heeft niet graag sushi. 	 She doesn't like sushi.
Ik heb de deur opengedaan. 	 I opened the door.
Ik wil hem de moeite besparen om daar heen te gaan. 	 I wish to spare him the trouble of going there.
Dit is uw wijn. 	 This is your wine.
Er is ook nog een andere mogelijkheid. 	 There's also another possibility.
De kat drinkt melk. 	 The cat drinks milk.
Is het altijd zo? 	 Is it always like this?
Wie is jouw favoriete countryzanger? 	 Who's your favorite country singer?
Het verhaal dat Tom mijn kat opat is niet waar. 	 The story about Tom eating my cat isn't true.
Ik moet er zeker van zijn. 	 I need to be sure.
Tom zei dat het waar kon zijn. 	 Tom said that it might be true.
Hij ging naar haar toe en ze schudden elkaar de hand. 	 He went up to her and they shook hands.
Misschien had ik het mis. 	 Maybe I was wrong.
Ik ben gek op rood. 	 I really like red.
Was jij het, Tom? 	 Was it you, Tom?
Waarom vraag je Tom niet om bij ons een film te komen kijken? 	 Why don't you invite Tom over to watch a video with us?
Waar is de dichtstbijzijnde apotheek? 	 Where is the closest pharmacy?
Ik ga nergens heen. 	 I'm not going anywhere.
Komkommers zijn verwant aan watermeloenen. 	 Cucumbers are related to watermelons.
Ik werd erg boos. 	 I got very mad.
Over een minuutje ben ik bij jullie. 	 I'll join you guys in a minute.
Ik had een niersteen. 	 I had a kidney stone.
Misschien gaat het regenen. 	 It may rain.
We hoorden de deur dichtgaan. 	 We heard the door close.
Kunt u de benodigde papieren inleveren? 	 Please hand in the necessary papers.
Ik kan je niet genoeg bedanken voor jouw hulp. 	 I can't thank you enough for your help.
Ik moet nog eten kopen voor het feestje. 	 I still need to buy food for the party.
Ik weiger antwoord te geven op zo'n domme vraag. 	 I refuse to answer such a stupid question.
Mijn vader is altijd bezig. 	 My father is always busy.
Vraag rond. 	 Ask around.
Eet je vlees? 	 Do you eat meat?
We kunnen beter hier niet langer blijven. 	 We had better not remain here any longer.
Kinderen lezen geen boeken meer. 	 Kids don't read books anymore.
Hoe groot is Mars? 	 How big is Mars?
U mag het voor niets hebben. 	 You can have it for nothing.
Je bent veilig. 	 You're safe.
Ik was dom. 	 I was stupid.
Tom is een zeer getalenteerde drummer. 	 Tom is a very talented drummer.
Iedereen heeft het erover. 	 Everyone's talking about it.
Voelt u zich schuldig? 	 Do you feel guilty?
Hij ging vorig jaar naar Amerika om zijn Engels bij te schaven. 	 He went to the United States last year to brush up his English.
Ik ga overmorgen naar Boston. 	 I'm going to Boston the day after tomorrow.
Geef me dat wapen. 	 Give me that weapon.
Ik doe de afwas. 	 I'm doing the dishes.
Ik woon bij mijn vader. 	 I live with my father.
Wat doen jullie in je vrije tijd? 	 What do you do in your spare time?
Hij heeft expres het raam gebroken. 	 He broke the window on purpose.
Ik wil een mes. 	 I want a knife.
Dat doet de deur dicht! 	 I am baffled.
Tussen jou en mij, Toms idee trekt me niet zo aan. 	 Between you and me, Tom's idea doesn't appeal to me very much.
Ze hebben het vast druk. 	 They must be busy.
Ik doe helemaal niets. 	 I'm not doing anything.
Is deze auto van jou? 	 Is this your car?
Ik ben gewoon benieuwd. 	 I'm just curious.
Ik zou willen uitstappen bij de volgende halte. 	 I'd like to get off at the next stop.
Waarom zou ik me moeten aantrekken wat de maatschappij denkt? 	 Why should I care what society thinks?
Zij hadden hulp nodig. 	 They needed help.
Hij bezocht de kust van Zuid-Amerika in 1499. 	 He visited the coast of South America in 1499.
Ze kocht een woordenboek voor haar zuster. 	 She bought a dictionary for her sister.
Wees geen kind. 	 Don't be a baby.
Mijn koffer is stuk. 	 My suitcase is broken.
Ik kan me niet herinneren dat ik die sms gestuurd heb. 	 I don't remember sending that text.
Ik werk niet graag met een lege maag. 	 I don't like working on an empty stomach.
Houden jullie van peren? 	 Do you like pears?
Ik meende je te horen binnenkomen. 	 I thought I heard you come in.
Voor het eerst in meer dan 6 jaar is het werkloosheidspercentage lager dan 6%. 	 For the first time in more than 6 years, the unemployment rate is below 6%.
Ik kan niet voor mezelf zorgen. 	 I can't take care of myself.
In wijn zit waarheid. 	 A drunk man's words are a sober man's thoughts.
Ik vroeg Mary om met mij te dansen. 	 I asked Mary to dance with me.
Iedereen kan helpen. 	 Everyone can help.
Wat kan het zijn? 	 What can it be?
Ik maak de keuken schoon. 	 I am cleaning the kitchen.
Ik weet dat Tom dat niet gedaan zou hebben. 	 I know Tom wouldn't have done that.
Houd het kort. 	 Be brief.
Om misverstanden te vermijden, heeft hij het contract nog eens nagekeken. 	 In order to avoid misunderstandings, they went through the contract again.
Hij ging samen met haar. 	 He went together with her.
Kennen jullie die man? 	 Do you know that man?
Weet u wat voor soort bloem dit is? 	 Do you know what kind of flower this is?
Het pakje weegt meer dan een pond. 	 The parcel weighs more than one pound.
Niet zingen. 	 Don't sing.
Toms hond kan goed zwemmen. 	 Tom's dog swims quite well.
Ik wil een kort slaapje houden. 	 I want to take a nap.
Waarom ben je alleen? 	 Why are you alone?
Tom las een boek. 	 Tom read a book.
"Is zijn verhaal waar?" "Ik vrees van niet." 	 "Is his story true?" "I'm afraid not."
Hoe wist je dat dat ging gebeuren? 	 How did you know that that was going to happen?
We missen je heel erg. 	 We miss you a lot.
Het is zaterdag. 	 It is Saturday.
Ik eet fruit. 	 I'm eating fruit.
Ik zou wel een glas water willen. 	 I'd like a glass of water.
Wat zei je dat je haar voor haar verjaardag cadeau had gegeven? 	 What did you say you gave her for her birthday?
Ik wacht op een vriendin van me. 	 I'm waiting for my friend.
Hij gaat nooit op reis zonder een wekker mee te nemen. 	 He never travels without taking an alarm clock with him.
Kan ik u tenminste knuffelen? 	 Can I at least hug you?
Ik doe m'n best. 	 I'm doing all I can.
Ik geloof niet dat dat ooit zal gebeuren. 	 I don't believe that'll ever happen.
Ben je in Australië? 	 Are you in Australia?
Hij heeft Japan voorgoed verlaten. 	 He left Japan for good.
Blijf dansen. 	 Keep dancing.
Ik hoor iemand praten. 	 I hear somebody talking.
Angola was ooit een Portugese territorium. 	 Angola was once a Portuguese territory.
Hebt u nog graag wat sinaasappelsap? 	 Would you like some more orange juice?
Zoiets kan in Japan niet gebeuren. 	 Such a thing can't happen in Japan.
Tom wilde vroeg naar huis, maar Maria niet. 	 Tom wanted to go home early, but Mary didn't.
Ze leest graag boeken. 	 She likes to read books.
In nood leert men zijn vrienden kennen. 	 A friend in need is a friend indeed.
Wat is dat voor ding in uw rechterhand? 	 What's that thing in your right hand?
Word wakker! 	 Get real.
Maria draagt altijd te veel parfum. 	 Mary always wears too much perfume.
Als het te mooi klinkt om waar te zijn, dan is het dat waarschijnlijk niet. 	 If it sounds too good to be true, it's probably not true.
Voor meer informatie, bezoek onze website. 	 For more information, please visit our website.
Ik draag doordeweeks witte overhemden. 	 I wear white shirts on weekdays.
Vandaag is het zaterdag. 	 It's Saturday today.
Maak de spiegel schoon. 	 Clean the mirror.
Het is bijna revolutionair. 	 It's almost revolutionary.
Ik slaap in mijn kamer. 	 I sleep in my room.
Ik vraag me af of hij getrouwd is. 	 I wonder if he is married.
Ik was achterdochtig. 	 I was suspicious.
Ik weet dat Tom kleurenblind is. 	 I know that Tom is colorblind.
Gisternacht was het heet. 	 It was hot last night.
Vertel mij iets over uw familie. 	 Tell me something about your family.
Bedankt voor je hulp. 	 Thanks for the help.
De kerstman stond in de tuin. 	 Santa Claus was standing in the garden.
Die het eerst komt, die het eerst maalt. 	 First come, first served.
Volgens de kranten zal hij hier vandaag zijn. 	 According to the newspapers, he will be here today.
Ik weet niet waar u het over hebt. 	 I don't know what you're talking about.
Hij spreekt niet alleen Frans, maar ook Spaans. 	 He not only speaks French, but he speaks Spanish, too.
Ik kan hem niet uitstaan. 	 I can't stand him.
Ik ben bang om te gaan. 	 I'm afraid to go.
Het zal snel opklaren. 	 It's going to clear up soon.
We hebben het heet. 	 We're hot.
Hij nam niet deel aan de discussie. 	 He didn't participate in the discussion.
Ik moet nu gaan. 	 I have to leave now.
Je bent oud genoeg om beter te weten dan je zo te gedragen. 	 You are old enough to know better than to act like that.
De prijzen van bepaalde voedingsmiddelen variëren per week. 	 The prices of certain foods vary from week to week.
Ze sloeg hem met een hamer. 	 She hit him with a hammer.
Mijn rijinstructeur zegt dat ik geduldiger moet zijn. 	 My driving instructor says I should be more patient.
Tom is heel gevaarlijk. 	 Tom is very dangerous.
Ik vraag me af of Tom eerlijk is. 	 I wonder if Tom is honest.
Hij veegde het zweet van zijn gezicht af. 	 He wiped the sweat from his face.
Weet je zeker dat je dat niet wilt doen? 	 Are you sure you don't want to do that?
Ik herinner me dat. 	 I remember that.
Ik kan je aanleren hoe dat te doen. 	 I can teach you how to do this.
Bloemen trekken bijen aan. 	 Flowers attract bees.
Ik denk dat we meer ijs nodig hebben. 	 I think we need more ice.
Hij was streng voor zijn kinderen. 	 He was severe with his children.
Tom was een wreed man. 	 Tom was a cruel man.
Mijn oom woont in Madrid, de hoofdstad van Spanje. 	 My uncle lives in Madrid, the capital of Spain.
Ze waren bezig. 	 They were busy.
Er gebeuren de hele tijd ongelukken. 	 Accidents happen all the time.
Heb je morgen middag iets te doen? 	 Are you busy tomorrow afternoon?
Het regende hard. 	 It rained heavily.
Tom begreep niet waarom hij niet mocht gaan. 	 Tom didn't understand why he wasn't allowed to go.
Heb je niets beters te doen? 	 Don't you have something better to do?
Kijk achter je. 	 Look back.
Mijn vader heet Tom. 	 My father's name is Tom.
Ge waart laat zeker? 	 You were late, weren't you?
Tom is een kruisvaarder. 	 Tom is a crusader.
Wanneer heb je de tijd gehad om dat te doen? 	 When did you have time to do that?
De pizza is hier! 	 The pizza's here!
Geef me het groene boek. 	 Give me the green book.
Tom is plastisch chirurg. 	 Tom is a plastic surgeon.
Is het daar veilig? 	 Is it safe in there?
Hier ben ik niet zeker van. 	 I'm not sure about this.
Is er iemand thuis? 	 Anybody home?
Tom zei dat Mary voorzichtig moet zijn. 	 Tom said that Mary has to be careful.
Ik was gedwongen te stoppen met het plan. 	 I was forced to abandon the plan.
Ik kan Tom niets vertellen. 	 I can't tell Tom anything.
Ik had het woord "wachtwoord" niet als mijn wachtwoord moeten gebruiken. 	 I shouldn't have used the word "password" as my password.
Het is geen grap. 	 It isn't a joke.
Amerikanen zijn erg vriendelijk. 	 Americans are very friendly people.
Laten we ergens een hapje eten halen. 	 Let's go grab a bite somewhere.
